##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
kidney transplant	13.51.156.279.184	renal_transplant_plan
kidney_biopsy	6.41.153.265	kidney_biopsy
kidney_radioisotope_scan	6.41.149.234.163.187	kidney_radioisotope_scan
kids	5.34.79.102.50	children_medical_history
knee	5.39.124.160.105.70	knee_review
knee	5.32.77.81.23.14.10	knees_course
knee	6.40.139.200.147.151	knees_exam
knee	13.51.157.292.202.207	knees_plan
knee course	5.32.77.81.23.14.10	knees_course
knee exam	6.40.139.200.147.151	knees_exam
knee examination	6.40.139.200.147.151	knees_exam
knee plan	13.51.157.292.202.207	knees_plan
knee_review	5.39.124.160.105.70	knee_review
knees	5.39.124.160.105.70	knee_review
knees	6.40.139.200.147.151	knees_exam
knees	13.51.157.292.202.207	knees_plan
knees course	5.32.77.81.23.14.10	knees_course
knees exam	6.40.139.200.147.151	knees_exam
knees examination	6.40.139.200.147.151	knees_exam
knees plan	13.51.157.292.202.207	knees_plan
knees_course	5.32.77.81.23.14.10	knees_course
knees_exam	6.40.139.200.147.151	knees_exam
knees_plan	13.51.157.292.202.207	knees_plan
knowledge	6.40.139.199.139.123	fund_of_knowledge
knowledge insight	6.40.139.199.139.123-27	knowledge_insight
knowledge/insight	6.40.139.199.139.123-27	knowledge_insight
knowledge_insight	6.40.139.199.139.123-27	knowledge_insight
known adverse and allergic drug reactions (if none, enter nka)	5.38	allergies_and_adverse_reactions
known significant medical diagnoses and conditions	5.35	past_medical_history
known significant operative and invasive procedures	5.35.84	past_surgical_history
l spine	5.32.77.81.23.14.15	lumbosacral_spine_course
l spine	6.40.139.200.147.153.83	lumbosacral_spine_exam
l spine	13.51.157.292.202.212	lumbosacral_spine_plan
l spine	5.39.124.160.105.75	lumbosacral_spine_review
lab	6.41.144	laboratory_data
lab / x-ray data	6.41	laboratory_and_radiology_data
lab and imaging	6.41	laboratory_and_radiology_data
lab and radiological result	6.41	laboratory_and_radiology_data
lab and radiological results	6.41	laboratory_and_radiology_data
lab data	6.41.144	laboratory_data
lab discharge	6.41.144	laboratory_data
lab imaging	6.41	laboratory_and_radiology_data
lab radiological result	6.41	laboratory_and_radiology_data
lab test	6.41.144	laboratory_data
lab tests	6.41.144	laboratory_data
lab values	6.41.144	laboratory_data
labia	6.40.139.198.137.114	external_genitalia_exam
labium	6.40.139.198.137.114	external_genitalia_exam
labor medication	5.37.106.128	labor_medications
labor medications	5.37.106.128	labor_medications
labor_medications	5.37.106.128	labor_medications
laboratories	6.41.144	laboratory_data
laboratories on admission	6.41.144	laboratory_data
laboratory	6.41.144	laboratory_data
laboratory and radiographic studies	6.41	laboratory_and_radiology_data
laboratory and radiographic study	6.41	laboratory_and_radiology_data
laboratory and radiology data	6.41	laboratory_and_radiology_data
laboratory and radiology finding	6.41	laboratory_and_radiology_data
laboratory and radiology findings	6.41	laboratory_and_radiology_data
laboratory and study data	6.41	laboratory_and_radiology_data
laboratory and x ray data	6.41	laboratory_and_radiology_data
laboratory and x-ray data	6.41	laboratory_and_radiology_data
laboratory at discharge	6.41.144	laboratory_data
laboratory data	6.41.144	laboratory_data
laboratory data admission	0	laboratory_data_admission
laboratory data diagnostic study	6.41	laboratory_and_radiology_data
laboratory data diagnostic study	6.41.144	laboratory_data
laboratory data on admission	0	laboratory_data_admission
laboratory data on presentation	6.41	laboratory_and_radiology_data
laboratory data radiology	6.41	laboratory_and_radiology_data
laboratory data/diagnostic studies	6.41	laboratory_and_radiology_data
laboratory data/diagnostic studies	6.41.144	laboratory_data
laboratory data/radiology	6.41	laboratory_and_radiology_data
laboratory discharge	6.41.144	laboratory_data
laboratory evaluation	6.41.144	laboratory_data
laboratory exam	6.41.144	laboratory_data
laboratory examination	6.41.144	laboratory_data
laboratory finding	6.41.144	laboratory_data
laboratory findings	6.41.144	laboratory_data
laboratory imaging	6.41	laboratory_and_radiology_data
laboratory or imaging	6.41	laboratory_and_radiology_data
laboratory radiographic study	6.41	laboratory_and_radiology_data
laboratory radiology data	6.41	laboratory_and_radiology_data
laboratory radiology finding	6.41	laboratory_and_radiology_data
laboratory result	6.41	laboratory_and_radiology_data
laboratory studies	6.41.144	laboratory_data
laboratory study	6.41.144	laboratory_data
laboratory study data	6.41	laboratory_and_radiology_data
laboratory study data	6.41.144	laboratory_data
laboratory test	6.41.144	laboratory_data
laboratory tests	6.41.144	laboratory_data
laboratory value	6.41.144	laboratory_data
laboratory values	6.41.144	laboratory_data
laboratory x ray data	6.41	laboratory_and_radiology_data
laboratory_and_radiology_data	6.41	laboratory_and_radiology_data
laboratory_data	6.41.144	laboratory_data
laboratory_data_admission	0	laboratory_data_admission
labs	6.41.144	laboratory_data
labs discharge	6.41.144	laboratory_data
labs on admission	0	laboratory_data_admission
labs on admit	6.41.144	laboratory_data
labs today	6.41.144	laboratory_data
language	6.40.139.199.139.124.57	language
laryngoscopy	6.41.150.237.164	laryngoscopy
larynx	6.40.139.191.121.87	larynx_exam
larynx exam	6.40.139.191.121.87	larynx_exam
larynx examination	6.40.139.191.121.87	larynx_exam
larynx_exam	6.40.139.191.121.87	larynx_exam
last breast exam	5.35.91.109.82	breast_history
last cardiac functional study	6.41.145	cardiovascular_studies
last menstrual period	5.39.122.150.100	last_menstrual_period
last pap	5.35.91.109.81	previous_pap_history
last period	5.39.122.150.100	last_menstrual_period
last_menstrual_period	5.39.122.150.100	last_menstrual_period
latex allergy	5.38.112	latex_allergy
latex_allergy	5.38.112	latex_allergy
le	6.40.139.202.150	lower_extremity_exam
le	13.51.157.298.206	lower_extremity_plan
leg	6.40.139.202.150	lower_extremity_exam
leg	13.51.157.298.206	lower_extremity_plan
legs	6.40.139.202.150	lower_extremity_exam
legs	13.51.157.298.206	lower_extremity_plan
length	5.25.55	birth_length
length	6.40.136.174	length
lens	6.40.139.191.120.80.32.12	optic_lens_exam
level activity history	5.34.78.96.45	exercise_habits
level cousciousness	6.40.139.199.139.118	level_of_cousciousness
level of activity history	5.34.78.96.45	exercise_habits
level of cousciousness	6.40.139.199.139.118	level_of_cousciousness
level_of_cousciousness	6.40.139.199.139.118	level_of_cousciousness
light touch	6.40.139.199.140.129.71	light_touch_sensation
light touch sensation	6.40.139.199.140.129.71	light_touch_sensation
light_touch_sensation	6.40.139.199.140.129.71	light_touch_sensation
lip	6.40.139.191.120.79.30	lip_exam
lip exam	6.40.139.191.120.79.30	lip_exam
lip examination	6.40.139.191.120.79.30	lip_exam
lip_exam	6.40.139.191.120.79.30	lip_exam
lipid screen	5.36.103.118	lipid_screen
lipid_screen	5.36.103.118	lipid_screen
live	5.34.78.94	family_enviroment
live situation	5.34.78.92.33	living_situation
live will	5.20	advanced_directives
live with	5.34.78.94	family_enviroment
liver biopsy	6.41.153.262	liver_biopsy
liver biopsy aspirate	6.41.153.262	liver_biopsy
liver biopsy or aspirate	6.41.153.262	liver_biopsy
liver transplant	13.51.156.279.186	liver_transplant_plan
liver transplant plan	13.51.156.279.186	liver_transplant_plan
liver_biopsy	6.41.153.262	liver_biopsy
liver_transplant_plan	13.51.156.279.186	liver_transplant_plan
lives with	5.34.78.94	family_enviroment
living situation	5.34.78.92.33	living_situation
living will	5.20	advanced_directives
living_situation	5.34.78.92.33	living_situation
livingwill codestatus	5.20-28	livingwill_codestatus
livingwill_codestatus	5.20-28	livingwill_codestatus
lmp	5.39.122.150.100	last_menstrual_period
location	5.14.17	address
long term memory	5.39.123.158.104	long_term_memory_review
long_term_memory_review	5.39.123.158.104	long_term_memory_review
lower arm	6.40.139.202.149.154	forearm_exam
lower arm	13.51.157.298.205.213	forearm_plan
lower extremities	5.39.126	extremity_review
lower extremities	6.40.139.202.150	lower_extremity_exam
lower extremities	13.51.157.298.206	lower_extremity_plan
lower extremity	5.39.126	extremity_review
lower extremity	6.40.139.202.150	lower_extremity_exam
lower extremity	13.51.157.298.206	lower_extremity_plan
lower extremity exam	6.40.139.202.150	lower_extremity_exam
lower extremity examination	6.40.139.202.150	lower_extremity_exam
lower extremity plan	13.51.157.298.206	lower_extremity_plan
lower leg	6.40.139.202.150.157	lowerleg_exam
lower leg	13.51.157.298.206.216	lowerleg_plan
lower leg exam	6.40.139.202.150.157	lowerleg_exam
lower leg exam	13.51.157.298.206.216	lowerleg_plan
lower_extremity_exam	6.40.139.202.150	lower_extremity_exam
lower_extremity_plan	13.51.157.298.206	lower_extremity_plan
lowerleg	6.40.139.202.150.157	lowerleg_exam
lowerleg	13.51.157.298.206.216	lowerleg_plan
lowerleg exam	6.40.139.202.150.157	lowerleg_exam
lowerleg examination	6.40.139.202.150.157	lowerleg_exam
lowerleg plan	13.51.157.298.206.216	lowerleg_plan
lowerleg_exam	6.40.139.202.150.157	lowerleg_exam
lowerleg_plan	13.51.157.298.206.216	lowerleg_plan
ls spine	5.32.77.81.23.14.15	lumbosacral_spine_course
ls spine	6.40.139.200.147.153.83	lumbosacral_spine_exam
ls spine	13.51.157.292.202.212	lumbosacral_spine_plan
ls spine	5.39.124.160.105.75	lumbosacral_spine_review
lspine x ray	6.41.149.234.160.167.86.35	lspine_xray
lspine xray	6.41.149.234.160.167.86.35	lspine_xray
lspine_xray	6.41.149.234.160.167.86.35	lspine_xray
lumbar spine	6.40.139.200.147.153.83.31	lumbar_spine_exam
lumbar spine	13.51.157.292.202.212.111	lumbar_spine_plan
lumbar spine	5.39.124.160.105.75.27	lumbar_spine_review
lumbar spine course	5.32.77.81.23.14.15.1	lumbar_spine_course
lumbar spine exam	6.40.139.200.147.153.83.31	lumbar_spine_exam
lumbar spine examination	6.40.139.200.147.153.83.31	lumbar_spine_exam
lumbar spine plan	13.51.157.292.202.212.111	lumbar_spine_plan
lumbar_spine_course	5.32.77.81.23.14.15.1	lumbar_spine_course
lumbar_spine_exam	6.40.139.200.147.153.83.31	lumbar_spine_exam
lumbar_spine_plan	13.51.157.292.202.212.111	lumbar_spine_plan
lumbar_spine_review	5.39.124.160.105.75.27	lumbar_spine_review
lumbosacral spine	6.40.139.200.147.153.83	lumbosacral_spine_exam
lumbosacral spine	13.51.157.292.202.212	lumbosacral_spine_plan
lumbosacral spine	5.39.124.160.105.75	lumbosacral_spine_review
lumbosacral spine course	5.32.77.81.23.14.15	lumbosacral_spine_course
lumbosacral spine exam	6.40.139.200.147.153.83	lumbosacral_spine_exam
lumbosacral spine examination	6.40.139.200.147.153.83	lumbosacral_spine_exam
lumbosacral spine plan	13.51.157.292.202.212	lumbosacral_spine_plan
lumbosacral_spine_course	5.32.77.81.23.14.15	lumbosacral_spine_course
lumbosacral_spine_exam	6.40.139.200.147.153.83	lumbosacral_spine_exam
lumbosacral_spine_plan	13.51.157.292.202.212	lumbosacral_spine_plan
lumbosacral_spine_review	5.39.124.160.105.75	lumbosacral_spine_review
lung	5.32.77.87	pulmonary_course
lung	6.40.139.195.128	pulmonary_exam
lung	5.34.79.103.71	pulmonary_family_history
lung	13.51.157.296	pulmonary_plan
lung	5.39.132	pulmonary_review
lung biopsy	6.41.153.247.175	lung_biopsy
lung radioisotope scan	6.41.149.234.163.185	ventilation_perfusion_scan
lung_biopsy	6.41.153.247.175	lung_biopsy
lungs	5.32.77.87	pulmonary_course
lungs	6.40.139.195.128	pulmonary_exam
lungs	5.34.79.103.71	pulmonary_family_history
lungs	13.51.157.296	pulmonary_plan
lungs	5.39.132	pulmonary_review
lym	5.32.77.73	lymphatic_course
lym	6.40.139.193.123	lymphatic_exam
lym	5.34.79.103.58	lymphatic_family_history
lym	5.39.116	lymphatic_review
lymp	13.51.157.284	lypmhatic_plan
lymph	5.32.77.73	lymphatic_course
lymph	6.40.139.193.123	lymphatic_exam
lymph	5.34.79.103.58	lymphatic_family_history
lymph	5.39.116	lymphatic_review
lymph	13.51.157.284	lypmhatic_plan
lymph node	6.40.139.193.123	lymphatic_exam
lymph node biopsy	6.41.153.269.178	lymph_node_biopsy
lymph node biopsy aspirate	6.41.153.269.178	lymph_node_biopsy
lymph node biopsy or aspirate	6.41.153.269.178	lymph_node_biopsy
lymph node exam	6.40.139.193.123	lymphatic_exam
lymph node survey	6.40.139.193.123	lymphatic_exam
lymph nodes	6.40.139.193.123	lymphatic_exam
lymph nodes exam	6.40.139.193.123	lymphatic_exam
lymph_node_biopsy	6.41.153.269.178	lymph_node_biopsy
lymphangiography	6.41.149.234.162.180	lymphangiography
lymphatic	5.39.117-14	hematologic_lymphatic_review
lymphatic	5.32.77.73	lymphatic_course
lymphatic	6.40.139.193.123	lymphatic_exam
lymphatic	5.34.79.103.58	lymphatic_family_history
lymphatic	5.39.116	lymphatic_review
lymphatic	13.51.157.284	lypmhatic_plan
lymphatic course	5.32.77.73	lymphatic_course
lymphatic exam	6.40.139.193.123	lymphatic_exam
lymphatic examination	6.40.139.193.123	lymphatic_exam
lymphatic family history	5.34.79.103.58	lymphatic_family_history
lymphatic system	5.32.77.73	lymphatic_course
lymphatic system symptom	5.34.79.103.58	lymphatic_family_history
lymphatic system symptom	5.39.116	lymphatic_review
lymphatic system symptom	13.51.157.284	lypmhatic_plan
lymphatic system symptoms	5.34.79.103.58	lymphatic_family_history
lymphatic system symptoms	5.39.116	lymphatic_review
lymphatic system symptoms	13.51.157.284	lypmhatic_plan
lymphatic_course	5.32.77.73	lymphatic_course
lymphatic_exam	6.40.139.193.123	lymphatic_exam
lymphatic_family_history	5.34.79.103.58	lymphatic_family_history
lymphatic_review	5.39.116	lymphatic_review
lymphatics	5.39.117-14	hematologic_lymphatic_review
lymphatics	6.40.139.193.123	lymphatic_exam
lypmhatic	13.51.157.284	lypmhatic_plan
lypmhatic plan	13.51.157.284	lypmhatic_plan
lypmhatic_plan	13.51.157.284	lypmhatic_plan
lytes	6.41.144.206.152	basic_metabolic_panel
m	5.34.79.102.48.33	mother_medical_history
m aunt	5.34.79.102.52.43	maternal_aunt_medical_history
m uncle	5.34.79.102.53.45	maternal_uncle_medical_history
ma	5.34.79.102.52.43	maternal_aunt_medical_history
macula	6.40.139.191.120.80.36.16	macula
main diagnosis	5.22.39	principle_diagnosis
major surgical and invasive procedures	5.23.52	surgical_procedures
major surgical or invasive procedure	5.23.52	surgical_procedures
major surgical or invasive procedure 	5.23.52	surgical_procedures
major surgical procedures	5.23.52	surgical_procedures
male genitalia	6.40.139.198.137	genital_exam
male genitourinary and reproductive	5.32.77.79.19.10	male_gu_course
male genitourinary and reproductive history and symptom	5.39.122.150.97	male_gu_review
male genitourinary and reproductive history and symptoms	5.39.122.150.97	male_gu_review
male genitourinary reproductive	5.32.77.79.19.10	male_gu_course
male genitourinary reproductive history symptom	5.39.122.150.97	male_gu_review
male gu	5.32.77.79.19.10	male_gu_course
male gu	5.39.122.150.97	male_gu_review
male gu course	5.32.77.79.19.10	male_gu_course
male_gu_course	5.32.77.79.19.10	male_gu_course
male_gu_review	5.39.122.150.97	male_gu_review
mammogram	6.41.149.234.160.167.95	mammogram
mammography	6.41.149.234.160.167.95	mammogram
marital	5.34.78.94.43	marital_status
marital history	5.34.78.94.43	marital_status
marital status	5.34.78.94.43	marital_status
marital status and live arrangement	5.34.78.94.43	marital_status
marital status and living arrangements	5.34.78.94.43	marital_status
marital status live arrangement	5.34.78.94.43	marital_status
marital_status	5.34.78.94.43	marital_status
maternal aunt	5.34.79.102.52.43	maternal_aunt_medical_history
maternal aunt medical history	5.34.79.102.52.43	maternal_aunt_medical_history
maternal gma	5.34.79.102.49.36.25.3	maternal_grandmother
maternal gpa	5.34.79.102.49.36.25.4	maternal_grandfather
maternal grandfather	5.34.79.102.49.36.25.4	maternal_grandfather
maternal grandmother	5.34.79.102.49.36.25.3	maternal_grandmother
maternal grandparent	5.34.79.102.49.36.25	maternal_grandparent_history
maternal grandparent history	5.34.79.102.49.36.25	maternal_grandparent_history
maternal grandparents	5.34.79.102.49.36.25	maternal_grandparent_history
maternal id	5.34.78.94.41.26	mother
maternal uncle	5.34.79.102.53.45	maternal_uncle_medical_history
maternal uncle medical history	5.34.79.102.53.45	maternal_uncle_medical_history
maternal_aunt_medical_history	5.34.79.102.52.43	maternal_aunt_medical_history
maternal_grandfather	5.34.79.102.49.36.25.4	maternal_grandfather
maternal_grandmother	5.34.79.102.49.36.25.3	maternal_grandmother
maternal_grandparent_history	5.34.79.102.49.36.25	maternal_grandparent_history
maternal_uncle_medical_history	5.34.79.102.53.45	maternal_uncle_medical_history
max temp	6.40.136.165.109	max_temperature
max temperature	6.40.136.165.109	max_temperature
max_temperature	6.40.136.165.109	max_temperature
mcp	6.40.139.200.147.149.78	mcp_exam
mcp	13.51.157.292.202.203	mcp_plan
mcp	5.39.124.160.105.66	metacarpal_review
mcp course	5.32.77.81.23.14.6	mcp_course
mcp exam	6.40.139.200.147.149.78	mcp_exam
mcp examination	6.40.139.200.147.149.78	mcp_exam
mcp plan	13.51.157.292.202.203	mcp_plan
mcp_course	5.32.77.81.23.14.6	mcp_course
mcp_exam	6.40.139.200.147.149.78	mcp_exam
mcp_plan	13.51.157.292.202.203	mcp_plan
measurement	6.40.136	vital_signs
measurements	6.40.136	vital_signs
med	5.37	medications
medical history	5.35	past_medical_history
medical history and general physical examination	2.3	general_history_and_physical
medical history general physical examination	2.3	general_history_and_physical
medical problem	5.35	past_medical_history
medical problems	5.35	past_medical_history
medical record number	5.14.22	mrn
medical service	5.15.31	service
medication	5.37	medications
medication administer	5.37	medications
medication admission	5.37.106.122	admission_medications
medication allergies	5.38.108	medication_allergies
medication allergy	5.38.108	medication_allergies
medication at admission	5.37.106.122	admission_medications
medication at home	5.37.106.124	outpatient_medications
medication at outside hosptial	5.37.106.120	medications_outside_hospital
medication at transfer	5.37.106.121	medications_at_transfer
medication at vanderbilt	5.37	medications
medication by situation	5.37.106	medications_by_situation
medication by type	5.37.107	medications_by_type
medication during admission	5.37.106.122	admission_medications
medication herb supplement	5.37	medications
medication history	5.37.105	medication_history
medication home	5.37.106.124	outpatient_medications
medication on admission	5.37.106.122	admission_medications
medication outside hospital	5.37.106.120	medications_outside_hospital
medication outside hosptial	5.37.106.120	medications_outside_hospital
medication prior admission	5.37.106.124	outpatient_medications
medication prior to admission	5.37.106.124	outpatient_medications
medication situation	5.37.106	medications_by_situation
medication transfer	5.37.106.121	medications_at_transfer
medication type	5.37.107	medications_by_type
medication vanderbilt	5.37	medications
medication_allergies	5.38.108	medication_allergies
medication_history	5.37.105	medication_history
medications	5.37	medications
medications administered	5.37	medications
medications as outpatient	5.37	medications
medications at admission	5.37.106.122	admission_medications
medications at home	5.37.106.124	outpatient_medications
medications at transfer	5.37.106.121	medications_at_transfer
medications at vanderbilt	5.37	medications
medications by situation	5.37.106	medications_by_situation
medications by type	5.37.107	medications_by_type
medications during admission	5.37.106.122	admission_medications
medications known to be prescribed for or used by the patient	5.37	medications
medications known to be prescribed for or used by the patient (with dose, route, and frequency)	5.37	medications
medications on admission	5.37.106.122	admission_medications
medications on admit	5.37.106.122	admission_medications
medications on discharge	5.37.106.125	discharge_medications
medications on transfer	5.37	medications
medications on transfer the stillman infirmary	5.37	medications
medications outside hospital	5.37.106.120	medications_outside_hospital
medications prior to admission	5.37.106.124	outpatient_medications
medications/herbs/supplements	5.37	medications
medications_at_transfer	5.37.106.121	medications_at_transfer
medications_by_situation	5.37.106	medications_by_situation
medications_by_type	5.37.107	medications_by_type
medications_outside_hospital	5.37.106.120	medications_outside_hospital
medicine attending	3.10.7.9.2	medicine_attending_physician
medicine attending physician	3.10.7.9.2	medicine_attending_physician
medicine_attending_physician	3.10.7.9.2	medicine_attending_physician
meds	5.37	medications
memory	5.39.123.158	memory_review
memory	6.40.139.199.139.124.59	recall
memory_review	5.39.123.158	memory_review
menarche	5.35.91.109.77.57	menarche_age
menarche age	5.35.91.109.77.57	menarche_age
menarche_age	5.35.91.109.77.57	menarche_age
menopause age	5.35.91.109.78	menopause_age
menopause_age	5.35.91.109.78	menopause_age
menses	5.39.122.150.99	menstrual_status
menses	5.32.77.79.19.12	menstrual_status_course
menstrual history	5.35.91.109.77	menstrual_history
menstrual history	5.39.122.150.99	menstrual_status
menstrual onset	5.35.91.109.77.57	menarche_age
menstrual status	5.39.122.150.99	menstrual_status
menstrual status	5.32.77.79.19.12	menstrual_status_course
menstrual status course	5.32.77.79.19.12	menstrual_status_course
menstrual_history	5.35.91.109.77	menstrual_history
menstrual_status	5.39.122.150.99	menstrual_status
menstrual_status_course	5.32.77.79.19.12	menstrual_status_course
mental status	5.32.77.80.22	mental_status_course
mental status	6.40.139.199.139	mental_status_exam
mental status	13.51.157.291.199	mental_status_plan
mental status	5.39.123.156	mental_status_review
mental status affect and behavior	6.40.139.199.141.136	affect
mental status affect behavior	6.40.139.199.141.136	affect
mental status course	5.32.77.80.22	mental_status_course
mental status exam	5.32.77.80.22	mental_status_course
mental status exam	6.40.139.199.139	mental_status_exam
mental status exam	13.51.157.291.199	mental_status_plan
mental status examination	6.40.139.199.139	mental_status_exam
mental status history	5.32.77.80.22	mental_status_course
mental status history	5.39.123.156	mental_status_review
mental status level consciousness	6.40.139.199.139.118	level_of_cousciousness
mental status level of consciousness	6.40.139.199.139.118	level_of_cousciousness
mental status plan	13.51.157.291.199	mental_status_plan
mental_status_course	5.32.77.80.22	mental_status_course
mental_status_exam	6.40.139.199.139	mental_status_exam
mental_status_plan	13.51.157.291.199	mental_status_plan
mental_status_review	5.39.123.156	mental_status_review
meta	5.32.77.84.26	metabolic_course
meta	5.34.79.103.68.56	metabolic_family_history
meta	13.51.157.293.204	metabolic_plan
meta	5.39.128.164	metabolic_review
metabolic	5.32.77.84.26	metabolic_course
metabolic	5.34.79.103.68.56	metabolic_family_history
metabolic	13.51.157.293.204	metabolic_plan
metabolic	5.39.128.164	metabolic_review
metabolic course	5.32.77.84.26	metabolic_course
metabolic disorder history	5.34.79.103.68.56	metabolic_family_history
metabolic disorder history	5.39.128.164	metabolic_review
metabolic disorders history	5.34.79.103.68.56	metabolic_family_history
metabolic disorders history	5.39.128.164	metabolic_review
metabolic family history	5.34.79.103.68.56	metabolic_family_history
metabolic plan	13.51.157.293.204	metabolic_plan
metabolic_course	5.32.77.84.26	metabolic_course
metabolic_family_history	5.34.79.103.68.56	metabolic_family_history
metabolic_plan	13.51.157.293.204	metabolic_plan
metabolic_review	5.39.128.164	metabolic_review
metacarpal_review	5.39.124.160.105.66	metacarpal_review
mgf	5.34.79.102.49.36.25.4	maternal_grandfather
mgm	5.34.79.102.49.36.25.3	maternal_grandmother
mgma	5.34.79.102.49.36.25.3	maternal_grandmother
mgp	5.34.79.102.49.36.25.4	maternal_grandfather
mgp	5.34.79.102.49.36.25	maternal_grandparent_history
mgpa	5.34.79.102.49.36.25.4	maternal_grandfather
micro	6.41.144.215	microbiology
micro comment	6.41.144.215	microbiology
micro/comment	6.41.144.215	microbiology
microbiological studies	6.41.144.215	microbiology
microbiological study	6.41.144.215	microbiology
microbiology	6.41.144.215	microbiology
microbiology data	6.41.144.215	microbiology
microscopic description	6.41.144.215	microbiology
microscopic summary	6.41.144.215	microbiology
micu course	5.32.76.69	micu_course
micu_course	5.32.76.69	micu_course
midwife	3.10.8.20	midwife
min temp	6.40.136.165.110	min_temperature
min temperature	6.40.136.165.110	min_temperature
min_temperature	6.40.136.165.110	min_temperature
minimental	6.40.139.199.139.124	cognition
minimental status exam	6.40.139.199.139.124	cognition
mmse	6.40.139.199.139.124	cognition
mob	5.34.78.94.41.26	mother
mob occupation	5.34.78.94.41.26.19	mother_occupation
mom	5.34.79.102.48.33	mother_medical_history
mood	6.40.139.199.141.136	affect
mood affect	6.40.139.199.141.136	affect
mood/affect	6.40.139.199.141.136	affect
most recent laboratory data	6.41.144	laboratory_data
most recent medication	5.37	medications
mother	5.34.78.94.41.26	mother
mother	5.34.79.102.48.33	mother_medical_history
mother baby	5.34.78.94.41.26	mother
mother medical history	5.34.79.102.48.33	mother_medical_history
mother occupation	5.34.78.94.41.26.19	mother_occupation
mother of baby	5.34.78.94.41.26	mother
mother_medical_history	5.34.79.102.48.33	mother_medical_history
mother_occupation	5.34.78.94.41.26.19	mother_occupation
motor	6.40.139.199.140.130	strength_exam
motor function	6.40.139.199.140.130	strength_exam
motor strength	6.40.139.199.140.130	strength_exam
mouth	5.39.115.134.93.60	mouth
mouth	6.40.139.191.120.83.44	oral_cavity_exam
mouth & throat & teeth	6.40.139.191.120.83.44	oral_cavity_exam
mouth and pharynx	6.40.139.191.120.83	oropharynx_exam
mouth and throat exam	6.40.139.191.120.83.44-2	mouth_throat_exam
mouth cavity	5.39.115.136.94	mouth_cavity_review
mouth exam	6.40.139.191.120.83.44	oral_cavity_exam
mouth pharynx	6.40.139.191.120.83	oropharynx_exam
mouth throat	6.40.139.191.120.83.44-2	mouth_throat_exam
mouth throat exam	6.40.139.191.120.83.44-2	mouth_throat_exam
mouth throat examination	6.40.139.191.120.83.44-2	mouth_throat_exam
mouth throat tooth	6.40.139.191.120.83.44	oral_cavity_exam
mouth_cavity_review	5.39.115.136.94	mouth_cavity_review
mouth_throat_exam	6.40.139.191.120.83.44-2	mouth_throat_exam
mr	5.14.22	mrn
mr no	5.14.22	mrn
mr num	5.14.22	mrn
mr#	5.14.22	mrn
mrn	5.14.22	mrn
ms	5.32.77.81.23	musculoskeletal_course
ms	5.34.79.103.65.53	musculoskeletal_family_history
ms	13.51.157.292.200	musculoskeletal_plan
ms	5.39.124.160	musculoskeletal_review
ms	6.40.139.200	musculoskeletal_rheumatological_exam
mu	5.34.79.102.53.45	maternal_uncle_medical_history
murmur	6.40.139.194.127.101	cardiac_murmurs
murmurs	6.40.139.194.127.101	cardiac_murmurs
musc	5.34.79.103.65.53	musculoskeletal_family_history
musc	13.51.157.292.200	musculoskeletal_plan
musc	5.39.124.160	musculoskeletal_review
musc	6.40.139.200	musculoskeletal_rheumatological_exam
musc skel	5.32.77.81.23	musculoskeletal_course
musc skel	5.34.79.103.65.53	musculoskeletal_family_history
musc skel	13.51.157.292.200	musculoskeletal_plan
musc skel	5.39.124.160	musculoskeletal_review
musc skel	6.40.139.200	musculoskeletal_rheumatological_exam
musc/skel	5.32.77.81.23	musculoskeletal_course
musc/skel	5.34.79.103.65.53	musculoskeletal_family_history
musc/skel	13.51.157.292.200	musculoskeletal_plan
musc/skel	5.39.124.160	musculoskeletal_review
musc/skel	6.40.139.200	musculoskeletal_rheumatological_exam
muscle	6.40.139.200.146	muscle_exam
muscle biopsy	6.41.153.271.181	muscle_biopsy
muscle exam	6.40.139.200.146	muscle_exam
muscle examination	6.40.139.200.146	muscle_exam
muscle strength	6.40.139.199.140.130	strength_exam
muscle strength tone	6.40.139.199.140.130	strength_exam
muscle strength/tone	6.40.139.199.140.130	strength_exam
muscle tone	6.40.139.199.140.130.75	muscle_tone_exam
muscle tone exam	6.40.139.199.140.130.75	muscle_tone_exam
muscle tone examination	6.40.139.199.140.130.75	muscle_tone_exam
muscle_biopsy	6.41.153.271.181	muscle_biopsy
muscle_exam	6.40.139.200.146	muscle_exam
